Date,Open,High,Low,Close,Adj Close,Volume
2017-01-09,29.487499,29.857500,29.485001,29.747499,28.083660,134247600
2017-01-10,29.692499,29.844999,29.575001,29.777500,28.111979,97848400
2017-01-11,29.684999,29.982500,29.650000,29.937500,28.263029,110354400
2017-01-12,29.725000,29.825001,29.552500,29.812500,28.145027,108344800
2017-01-13,29.777500,29.905001,29.702499,29.760000,28.095461,104447600
2017-01-17,29.584999,30.059999,29.555000,30.000000,28.322041,137759200
2017-01-18,30.000000,30.125000,29.927500,29.997499,28.319677,94852000
2017-01-19,29.850000,30.022499,29.842501,29.945000,28.270119,102389200
2017-01-20,30.112499,30.112499,29.932501,30.000000,28.322041,130391600
2017-01-23,30.000000,30.202499,29.942499,30.020000,28.340923,88200800
2017-01-24,29.887501,30.025000,29.875000,29.992500,28.314957,92844000
2017-01-25,30.105000,30.525000,30.070000,30.469999,28.765747,129510400
2017-01-26,30.417500,30.610001,30.400000,30.485001,28.779911,105350400
2017-01-27,30.535000,30.587500,30.400000,30.487499,28.782272,82251600
2017-01-30,30.232500,30.407499,30.165001,30.407499,28.706743,121510000
2017-01-31,30.287500,30.347500,30.155001,30.337500,28.640661,196804000
2017-02-01,31.757500,32.622501,31.752501,32.187500,30.387186,447940000
2017-02-02,31.995001,32.347500,31.945000,32.132500,30.335266,134841600
2017-02-03,32.077499,32.297501,32.040001,32.270000,30.465073,98029200
2017-02-06,32.282501,32.625000,32.224998,32.572498,30.750654,107383600
2017-02-07,32.634998,33.022499,32.612499,32.882500,31.043314,152735200
2017-02-08,32.837502,33.055000,32.805000,33.009998,31.163679,92016400
2017-02-09,32.912498,33.112499,32.779999,33.105000,31.388868,113399600
2017-02-10,33.115002,33.235001,33.012501,33.029999,31.317757,80262000
2017-02-13,33.270000,33.455002,33.187500,33.322498,31.595093,92141600
2017-02-14,33.367500,33.772499,33.312500,33.755001,32.005180,132904800
2017-02-15,33.880001,34.067501,33.654999,33.877499,32.121319,142492400
2017-02-16,33.917500,33.974998,33.709999,33.837502,32.083401,90338400
2017-02-17,33.775002,33.957500,33.775002,33.930000,32.171108,88792800
2017-02-21,34.057499,34.187500,33.994999,34.174999,32.403400,98028800
2017-02-22,34.107498,34.279999,34.027500,34.277500,32.500591,83347600
2017-02-23,34.345001,34.369999,34.075001,34.132500,32.363113,83152800
2017-02-24,33.977501,34.165001,33.820000,34.165001,32.393925,87106400
2017-02-27,34.285000,34.360001,34.070000,34.232498,32.457920,81029600
2017-02-28,34.270000,34.360001,34.174999,34.247501,32.472145,93931600
2017-03-01,34.472500,35.037498,34.400002,34.947498,33.135860,145658400
2017-03-02,35.000000,35.070000,34.689999,34.740002,32.939114,104844000
2017-03-03,34.695000,34.957500,34.647499,34.945000,33.133476,84432400
2017-03-06,34.842499,34.942501,34.650002,34.834999,33.029186,87000000
2017-03-07,34.764999,34.994999,34.697498,34.880001,33.071854,69785200
2017-03-08,34.737499,34.950001,34.705002,34.750000,32.948601,74828800
2017-03-09,34.685001,34.697498,34.262501,34.669998,32.872742,88623600
2017-03-10,34.812500,34.840000,34.660000,34.785000,32.981777,78451200
2017-03-13,34.712502,34.857498,34.705002,34.799999,32.996002,69686800
2017-03-14,34.825001,34.912498,34.709999,34.747501,32.946220,61236400
2017-03-15,34.852501,35.187500,34.757500,35.115002,33.294674,102767200
2017-03-16,35.180000,35.255001,35.064999,35.172501,33.349194,76928000
2017-03-17,35.250000,35.250000,34.972500,34.997501,33.183266,175540000
2017-03-20,35.099998,35.375000,35.057499,35.365002,33.531719,86168000
2017-03-21,35.527500,35.700001,34.932499,34.959999,33.147709,158119600
2017-03-22,34.962502,35.400002,34.939999,35.355000,33.522228,103440800
2017-03-23,35.314999,35.395000,35.152500,35.230000,33.403709,81385200
2017-03-24,35.375000,35.435001,35.087502,35.160000,33.337337,89582400
2017-03-27,34.847500,35.305000,34.654999,35.220001,33.394238,94300400
2017-03-28,35.227501,36.009998,35.154999,35.950001,34.086391,133499200
2017-03-29,35.919998,36.122501,35.797501,36.029999,34.162235,116760000
2017-03-30,36.047501,36.125000,35.875000,35.982498,34.117195,84829200
2017-03-31,35.930000,36.067501,35.752499,35.915001,34.053204,78646800
2017-04-03,35.927502,36.029999,35.762501,35.924999,34.062683,79942800
2017-04-04,35.812500,36.222500,35.792500,36.192501,34.316322,79565600
2017-04-05,36.055000,36.365002,35.952499,36.005001,34.138531,110871600
2017-04-06,36.072498,36.130001,35.862499,35.915001,34.053204,84596000
2017-04-07,35.932499,36.044998,35.817501,35.834999,33.977352,66688800
2017-04-10,35.900002,35.970001,35.724998,35.792500,33.937054,75733600
2017-04-11,35.735001,35.837502,35.014999,35.407501,33.572010,121517600
2017-04-12,35.400002,35.537498,35.252499,35.450001,33.612312,81400000
2017-04-13,35.477501,35.595001,35.262501,35.262501,33.434532,71291600
2017-04-17,35.369999,35.470001,35.217499,35.457500,33.619411,66328400
2017-04-18,35.352501,35.509998,35.277500,35.299999,33.470081,58790000
2017-04-19,35.470001,35.500000,35.112499,35.169998,33.346825,69313600
2017-04-20,35.305000,35.730000,35.290001,35.610001,33.764015,93278400
2017-04-21,35.610001,35.669998,35.462502,35.567501,33.723717,69283600
2017-04-24,35.875000,35.987499,35.794998,35.910000,34.048462,68537200
2017-04-25,35.977501,36.224998,35.967499,36.132500,34.259430,75486000
2017-04-26,36.117500,36.150002,35.845001,35.919998,34.057938,80164800
2017-04-27,35.980000,36.040001,35.827499,35.947498,34.084007,56985200
2017-04-28,36.022499,36.075001,35.817501,35.912498,34.050831,83441600
2017-05-01,36.275002,36.799999,36.240002,36.645000,34.745358,134411600
2017-05-02,36.884998,37.022499,36.709999,36.877499,34.965809,181408800
2017-05-03,36.397499,36.872501,36.067501,36.764999,34.859138,182788000
2017-05-04,36.630001,36.785000,36.452499,36.632500,34.733509,93487600
2017-05-05,36.689999,37.244999,36.689999,37.240002,35.309509,109310800
2017-05-08,37.257500,38.424999,37.257500,38.252499,36.269527,195009600
2017-05-09,38.467499,38.720001,38.362499,38.497501,36.501831,156521600
2017-05-10,38.407501,38.485001,38.027500,38.314999,36.328789,103222800
2017-05-11,38.112499,38.517502,38.077499,38.487499,36.642971,109020400
2017-05-12,38.674999,39.105000,38.667500,39.025002,37.154709,130108000
2017-05-15,39.002499,39.162498,38.762501,38.924999,37.059498,104038800
2017-05-16,38.985001,39.014999,38.680000,38.867500,37.004768,80194000
2017-05-17,38.400002,38.642502,37.427502,37.562500,35.762302,203070800
2017-05-18,37.817501,38.334999,37.782501,38.134998,36.307369,134272800
2017-05-19,38.345001,38.494999,38.157501,38.264999,36.431133,107843200
2017-05-22,38.500000,38.645000,38.227501,38.497501,36.652496,91865600
2017-05-23,38.724998,38.724998,38.327499,38.450001,36.607277,79675600
2017-05-24,38.459999,38.542500,38.167500,38.334999,36.497776,76712000
2017-05-25,38.432499,38.587502,38.257500,38.467499,36.623932,76942400
2017-05-26,38.500000,38.560001,38.327499,38.402500,36.562050,87710400
2017-05-30,38.355000,38.607498,38.332500,38.417500,36.576328,80507600
2017-05-31,38.492500,38.542500,38.095001,38.189999,36.359734,97804800
2017-06-01,38.292500,38.332500,38.055000,38.294998,36.459702,65616400
2017-06-02,38.395000,38.862499,38.222500,38.862499,36.999996,111082800
2017-06-05,38.584999,38.612499,38.365002,38.482498,36.638210,101326800
2017-06-06,38.474998,38.952499,38.445000,38.612499,36.761978,106499600
2017-06-07,38.755001,38.994999,38.619999,38.842499,36.980961,84278400
2017-06-08,38.812500,38.884998,38.599998,38.747501,36.890507,85003200
2017-06-09,38.797501,38.797501,36.505001,37.244999,35.460018,259530800
2017-06-12,36.435001,36.522499,35.627499,36.355000,34.612671,289229200
2017-06-13,36.790001,36.862499,36.287498,36.647499,34.891159,136661600
2017-06-14,36.875000,36.875000,35.959999,36.290001,34.550785,126124800
2017-06-15,35.830002,36.119999,35.552502,36.072498,34.343712,128661600
2017-06-16,35.945000,36.125000,35.549999,35.567501,33.862915,201444400
